us_state,brand,price
Arizona,Talbots,6.99
California,Michael Kors,8.99
Carolina,Loft,7.99
Colorado,Columbia,7.99
Florida,Loft,6.99
Georgia,Ralph Lauren,9.99
Idaho,Patagonia,7.99
Illinois,Harley Davidson,6.99
Indiana,Michael Kors,8.99
Iowa,Harley Davidson,6.99
Louisiana,Michael Kors,8.99
Maine,LuLaRoe,10.0
Maryland,Loft,5.0
Michegan,LuLaRoe,7.99
Michigan,Talbots,9.95
Minnesota,LuLaRoe,6.99
Mississippi,Loft,6.95
Missouri,Ralph Lauren,9.0
Montana,LuLaRoe,7.99
Nevada,Michael Kors,9.95
New Jersey,Michael Kors,9.99
New York,Loft,8.99
North Dakota,Michael Kors,7.95
Ohio,Under Armour,5.0
Oregon,Harley Davidson,5.0
Pennsylvania,Coral Bay,9.49
South Carolina,LuLaRoe,7.99
Tennessee,Harley Davidson,4.97
Texas,Michael Kors,9.99
Virginia,LuLaRoe,6.99
Washington,Michael Kors,7.99
West Virginia,LuLaRoe,9.99
Wisconsin,Loft,7.99
