date,nominal_all,adjusted_all,nominal_tees,adjusted_tees
2014-07,7.0,7.000000000000002,3.99,3.990000000000001
2014-08,5.99,5.962611417673634,7.0,6.967993309468354
2014-09,7.0,6.992942114395586,3.49,3.4864811398915134
2014-10,6.99,6.980111222272593,3.49,3.4850626846539843
2014-11,6.99,6.952411717809633,3.49,3.4712327460880714
2014-12,6.99,6.918702458926702,3.49,3.454402229135077
2015-01,6.99,6.890948320332651,3.49,3.440545012583827
2015-02,6.99,6.881715152178331,3.49,3.4359350330618565
2015-03,4.99,4.9386733050913705,4.99,4.9386733050913705
2015-04,3.99,3.941599318441169,3.49,3.447664566756812
2015-05,3.99,3.9241663409982657,3.49,3.43241617295337
2015-06,5.0,4.904956933610542,3.49,3.423659939660159
2015-07,4.99,4.902128386300043,3.49,3.428542699035501
2015-08,5.99,5.906851073142518,4.49,4.427673008081787
2015-09,4.49,4.422233433899737,6.95,6.845105203920528
2015-10,3.99,3.9083238498694723,3.49,3.41855895640212
2015-11,3.99,3.9208294383392475,3.49,3.4294974285222994
2015-12,3.99,3.930746588297823,3.49,3.4381718278594993
2016-01,3.99,3.9071699676415883,3.49,3.417549670944647
2016-02,3.99,3.9496764940363605,3.99,3.9496764940363605
2016-03,3.99,3.9224199246533593,3.99,3.9224199246533593
2016-04,3.99,3.9168688155570504,6.95,6.822616107298621
2016-05,6.49,6.419490706726487,7.0,6.923949914805147
2016-06,5.49,5.412118225445906,6.99,6.89083905207047
2016-07,5.49,5.400618327054446,5.49,5.400618327054446
2016-08,5.49,5.416967063200513,5.49,5.416967063200513
2016-09,6.25,6.151224773725595,5.49,5.403235841240563
2016-10,6.49,6.406809179159307,6.49,6.406809179159307
2016-11,6.49,6.419744337277829,5.49,5.430569554954589
2016-12,6.49,6.402953994778885,5.49,5.4163663222397656
2017-01,5.49,5.424948335964735,5.49,5.424948335964735
2017-02,7.49,7.420334839224025,7.49,7.420334839224025
2017-03,7.49,7.404469916055714,7.49,7.404469916055714
2017-04,7.49,7.382984946303794,7.49,7.382984946303794
2017-05,7.49,7.338434368698317,5.99,5.8687879664222855
2017-06,7.49,7.338317284394492,8.99,8.80794023854559
2017-07,7.49,7.330297009582468,7.49,7.330297009582468
2017-08,7.49,7.342181066420722,7.49,7.342181066420722
2017-09,7.49,7.356933688702694,7.49,7.356933688702694
2017-10,7.49,7.352250316549687,7.49,7.352250316549687
2017-11,7.49,7.31653960388301,7.49,7.31653960388301
2017-12,7.99,7.769113739038002,7.99,7.769113739038002
2018-01,7.99,7.838246080255116,7.49,7.347742570852418
2018-02,7.49,7.42864782479561,5.99,5.940934642259774
2018-03,9.49,9.404180409873225,5.99,5.935831470510076
2018-04,9.49,9.422056400556503,9.49,9.422056400556503
2018-05,9.49,9.434443497834957,6.99,6.949079035813103
2018-06,9.49,9.354780369229807,9.49,9.354780369229807
2018-07,9.49,9.302116662237577,9.49,9.302116662237577
2018-08,9.49,9.167342076878587,9.49,9.167342076878587
2018-09,9.49,9.268219036751029,7.99,7.803273983523785
2018-10,9.49,9.285724156258304,8.0,7.827796970502258
2018-11,9.49,9.260430742054995,9.99,9.748335417611107
2018-12,9.49,9.2393652592581,7.99,7.7789808663300555
2019-01,7.49,7.351255099967173,7.99,7.841993090619187
2019-02,7.99,7.848175657719905,7.99,7.848175657719905
2019-03,9.49,9.196418377077114,7.99,7.742822216316769
2019-04,9.49,9.14538650325929,9.49,9.14538650325929
2019-05,9.49,9.148501821137703,7.99,7.702479404730268
2019-06,9.49,9.23424723702928,7.49,7.288146660205406
2019-07,9.49,9.247598599365338,7.99,7.785912835503588
2019-08,9.49,9.255683591002173,7.99,7.79271990433165
2019-09,11.99,11.662749527129483,7.99,7.771923996811056
2019-10,11.99,11.46885455909709,11.99,11.46885455909709
2019-11,11.99,11.533892310578231,6.99,6.724095683981806
2019-12,11.99,11.54307631583061,9.49,9.13626307232965
